,epoch,train_loss,eval_loss,eval_top1,eval_top5
"cmars, lr=1e-03",198.0,2.054780960083008,1.0435627010345458,74.91000185546875,92.08000146484376
"cmars, lr=2e-03",203.0,2.0272469520568848,1.0705795244216918,74.31000185546876,91.54000092773435
"mars, lr=1e-03",184.0,2.219767808914185,1.07215625667572,74.06000178222656,91.6200013671875
"mars, lr=2e-03",197.0,2.1453990936279297,1.0963781481742858,73.73000098876953,91.1500006225586
"cmars, lr=5e-04",198.0,2.2018630504608154,1.083557384109497,73.32000045166015,91.67000092773438
"mars, lr=5e-04",189.0,2.322845220565796,1.1199828132629397,72.02999995117187,90.86000173339843
