,epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
"claprop, lr=1e-03",204.0,2.2173619270324707,1.0931779468536378,73.920000390625,91.33000009765624,0.0
"claprop, lr=5e-04",183.0,2.262192726135254,1.0912627222061158,73.77000073242188,91.22000260009766,1.3478660293113704e-05
"laprop, lr=5e-04",198.0,2.2425642013549805,1.1426102781295775,71.73000213623047,90.55000146484376,1.109508849230001e-06
"laprop, lr=1e-03",179.0,2.290040969848633,1.168387135314941,71.15000104980469,90.18000189208983,3.806023374435663e-05
"claprop, lr=2e-04",195.0,2.546172380447388,1.2475446645736694,68.30000163574219,89.15000153808593,9.97634228344235e-07
"laprop, lr=2e-04",204.0,2.6702351570129395,1.309178423690796,67.07999990234374,88.67000270996094,0.0
"claprop, lr=2e-03",193.0,2.678058862686157,1.5239886917114258,62.08000177001953,84.8,1.4890673845226132e-05
"laprop, lr=2e-03",200.0,2.70467209815979,1.522907255935669,61.46000135498047,85.28000162353516,1.9732715717284413e-06
